Designator,Mid X,Mid Y,Rotation,Layer
C1,10.0,4.826,0.0,bottom
J1,17.62,6.487,0.0,bottom
J2,2.38,7.752,0.0,bottom
J3,15.055,6.487,0.0,top
J4,4.895,7.777,0.0,top
J5,14.953,17.077,0.0,top
MIC1,10.0,7.747,180.0,bottom
